company_name,website,short_description,product_description,mapped_function,mapped_industry,match_keywords,aliases,active,priority,source
Miro,https://miro.com,Visual collaboration platform for brainstorming and product planning,"Miro is an online whiteboard and collaboration platform used by teams for brainstorming, wireframing, sprint retrospectives, and product roadmapping. Offers templates, sticky notes, diagramming tools, and integrations with Jira, Slack, and Figma.",Visual Collaboration,Productivity SaaS,"miro, whiteboard, visual collaboration, brainstorming, diagramming, wireframing, sprint retro, product planning, online board",RealtimeBoard,true,7,websummit-lisbon2025
Remote,https://remote.com,Global HR platform for hiring and managing international employees,"Remote handles global payroll, benefits, compliance, and contractor management for distributed teams. Companies use it to hire in 180+ countries without setting up local legal entities. Covers employer of record (EOR), PEO, and contractor payments.",Global HR & Payroll,Human Resources and Recruiting,"remote, global payroll, employer of record, eor, international hiring, contractor management, hr compliance, peo, distributed teams",Remote.com,true,7,websummit-lisbon2025
Nerdio,https://nerdio.com,Microsoft cloud management platform for MSPs and enterprise IT,"Nerdio helps managed service providers and enterprises deploy and optimize Azure Virtual Desktop and Windows 365. Provides cost management, auto-scaling, multi-tenant management, and Microsoft 365 administration — reducing cloud spend by up to 60%.",IT Management,Enterprise IT SaaS,"nerdio, azure virtual desktop, avd, windows 365, msp, microsoft cloud, it management, virtual desktop, azure",Nerdio Manager,true,5,websummit-lisbon2025
Parloa,https://parloa.com,AI voice agents for enterprise contact centers,"Parloa builds AI-powered voice and chat agents for contact centers. The platform handles inbound phone calls, automates customer service workflows, and integrates with CRM and telephony systems. Deployed by insurers, retailers, and telcos at scale.",Contact Center AI,Customer Support SaaS,"parloa, ai voice agent, contact center, phone ai, ivr, voice automation, conversational ai, customer service, telephony",Parloa AI,true,6,websummit-lisbon2025
Superhuman,https://superhuman.com,AI-powered email client built for speed and productivity,"Superhuman is a premium email client layered on top of Gmail and Outlook with AI features including email summarization, reply drafting, and smart follow-up reminders. Built for professionals who need to manage high email volume and reach inbox zero.",Email Productivity,Productivity SaaS,"superhuman, email client, ai email, inbox zero, gmail, productivity, email speed, follow-up reminders, email management",Superhuman Email,true,6,websummit-lisbon2025
TestGorilla,https://testgorilla.com,Pre-employment skills testing platform for data-driven hiring,"TestGorilla provides a library of 400+ skills assessments covering coding, cognitive ability, personality, and role-specific tests. HR teams use it to screen candidates before interviews, reduce bias, and make evidence-based hiring decisions.",Pre-Employment Testing,Human Resources and Recruiting,"testgorilla, pre-employment testing, skills assessment, hiring, screening, cognitive tests, coding tests, recruitment, talent assessment",Test Gorilla,true,6,websummit-lisbon2025
Hootsuite,https://hootsuite.com,Social media management platform for scheduling and analytics,"Hootsuite lets teams manage multiple social media accounts from one dashboard. Features include post scheduling, social listening, analytics, team collaboration, and paid ad management across Instagram, LinkedIn, Twitter/X, Facebook, and TikTok.",Social Media Management,Marketing SaaS,"hootsuite, social media, scheduling, social listening, analytics, instagram, linkedin, content calendar, engagement, social publishing",Hootsuite Dashboard,true,6,websummit-lisbon2025
Oura,https://ouraring.com,Smart ring for sleep tracking and personal health monitoring,"Oura Ring is a wearable health tracker worn on the finger that measures sleep stages, heart rate variability, body temperature, and activity levels. Provides readiness, sleep, and activity scores via its companion app. Used by athletes and health-conscious consumers.",Health Monitoring,HealthTech,"oura, smart ring, sleep tracking, hrv, health monitoring, wearable, readiness score, body temperature, oura ring",Oura Ring,true,7,websummit-lisbon2025
Picsart,https://picsart.com,AI-powered creative platform for photo and video editing,"Picsart offers a suite of AI creative tools including background removal, image generation, photo filters, and video editing. Used by content creators, social media managers, and small businesses for rapid visual content production without design skills.",Visual Content Creation,Creative AI Tools,"picsart, photo editing, ai image, background removal, video editing, creative tools, content creator, visual design, image generation",PicsArt,true,6,websummit-lisbon2025
Vinted,https://vinted.com,Peer-to-peer marketplace for buying and selling secondhand fashion,"Vinted is a consumer-to-consumer marketplace for pre-owned clothing, accessories, and electronics. Sellers list items for free while buyers pay a buyer protection fee. Operates across 20+ European countries with over 80 million members.",Marketplace,eCommerce,"vinted, secondhand, fashion marketplace, p2p, pre-owned, resale, vintage clothing, circular fashion, recommerce",Vinted Marketplace,true,5,websummit-lisbon2025
Toloka,https://toloka.ai,AI data labeling and human-in-the-loop annotation platform,"Toloka provides a platform for large-scale data labeling, annotation, and AI model evaluation using a global crowd of human workers. Used by AI teams to generate training data, run RLHF pipelines, and perform human-in-the-loop quality checks.",Data Labeling,AI Infrastructure,"toloka, data labeling, annotation, rlhf, human in the loop, crowdsourcing, ai training data, model evaluation, data annotation",Toloka AI,true,6,websummit-lisbon2025
Alice & Bob,https://alice-bob.com,Quantum computing company building fault-tolerant cat qubit processors,"Alice & Bob develops superconducting quantum processors based on cat qubits — a hardware approach designed to dramatically reduce error rates and accelerate the path to fault-tolerant quantum computers. Targets pharmaceutical, finance, and logistics optimization.",Quantum Computing,Deep Tech,"alice and bob, quantum computing, cat qubit, fault tolerant, superconducting, quantum processor, error correction, quantum hardware",Alice&Bob,true,6,websummit-lisbon2025
Profluent Bio,https://profluent.bio,AI-first protein design company creating novel biological medicines,Profluent uses large language models trained on protein sequences to design novel proteins and gene editors. Released OpenCRISPR — the first AI-designed gene editor — as open source. Targets therapeutic and industrial biotech applications.,AI Drug Discovery,BioTech,"profluent, protein design, ai biotech, gene editing, crispr, opencrispr, protein language model, drug discovery, computational biology",Profluent,true,7,websummit-lisbon2025
Absci,https://absci.com,Generative AI drug creation company combining AI with wet lab validation,"Absci uses generative AI to design antibodies and biologics, integrating computational protein design with high-throughput lab screening. Partners with pharma companies to accelerate drug discovery programs from concept to validated lead candidate.",AI Drug Discovery,BioTech,"absci, generative ai, drug discovery, antibody design, biologics, ai pharma, wet lab, drug creation, de novo protein",Absci Corporation,true,6,websummit-lisbon2025
Lyft,https://lyft.com,Ride-sharing and mobility platform across the US and Canada,"Lyft connects riders with drivers for on-demand transportation via its mobile app. Offers rideshare, bike and scooter rentals, and corporate travel programs. Operates in 644+ cities across the United States and Canada. Competes directly with Uber.",Mobility & Transportation,Transportation Tech,"lyft, rideshare, ride-hailing, mobility, transportation, bike rental, scooter, corporate travel, on-demand",Lyft Rideshare,true,7,websummit-lisbon2025
Acast,https://acast.com,Open podcast hosting and monetization platform for creators,"Acast provides podcast creators with hosting, analytics, dynamic ad insertion, and monetization tools. Connects podcasters with advertisers through its marketplace and supports listener subscription models. Distributes to all major podcast platforms.",Podcast Monetization,Media Tech,"acast, podcast, hosting, monetization, dynamic ads, podcast distribution, podcast analytics, creator monetization, podcast advertising",Acast Podcast,true,5,websummit-lisbon2025
FieldAI,https://field.ai,AI platform for autonomous robot deployment in unstructured environments,"FieldAI provides autonomy software for robots operating in GPS-denied and unstructured environments such as construction sites, disaster zones, and industrial facilities. Its software enables real-time perception, navigation, and multi-robot coordination.",Robotics Autonomy,Robotics & AI,"field ai, robot autonomy, autonomous robots, industrial robotics, construction robots, multi-robot, gps denied, robot software",Field AI,true,6,websummit-lisbon2025
Twelve,https://twelve.co,Carbon transformation company converting CO2 into fuels and materials,"Twelve uses electrochemistry to convert CO2 captured from industrial processes into sustainable fuels, chemicals, and materials — replacing fossil-derived feedstocks. Products include sustainable aviation fuel (SAF) and CO2-derived polymers.",Carbon Capture & Utilization,Climate Tech,"twelve, carbon transformation, co2 utilization, sustainable aviation fuel, saf, electrochemistry, carbon capture, decarbonization, e-fuel",Twelve CO2,true,7,websummit-lisbon2025
SurveyMonkey,https://surveymonkey.com,Online survey platform for market research and customer feedback,"SurveyMonkey provides tools to create, distribute, and analyze surveys. Used by market researchers, HR teams, and product managers for customer satisfaction, NPS measurement, employee engagement, and academic research. Part of Momentive.",Surveys & Research,Marketing SaaS,"surveymonkey, surveys, online surveys, nps, customer feedback, market research, employee engagement, questionnaire, survey builder",Survey Monkey,true,6,websummit-lisbon2025
Boston Dynamics,https://bostondynamics.com,Advanced robotics company building agile mobile robots for real-world tasks,"Boston Dynamics creates robots including Spot (quadruped inspection robot), Atlas (humanoid), and Stretch (warehouse logistics robot). Deployed in manufacturing, construction, public safety, and logistics for inspection, data collection, and material handling.",Industrial Robotics,Robotics,"boston dynamics, spot robot, atlas, robotics, quadruped, humanoid robot, industrial automation, inspection robot, warehouse robot",Boston Dynamics Spot,true,8,websummit-lisbon2025
Atlassian,https://atlassian.com,Enterprise software for team collaboration and project tracking,"Atlassian provides Jira for project tracking, Confluence for documentation, Trello for kanban boards, and Bitbucket for code collaboration. Used by software teams and enterprises worldwide for agile planning, issue tracking, and releasing software.",Project Management,Productivity SaaS,"atlassian, jira, confluence, trello, bitbucket, project management, agile, scrum, team collaboration, issue tracking",Atlassian Software,true,8,websummit-lisbon2025
Lattice,https://lattice.com,People management platform for performance reviews and employee growth,"Lattice helps HR and people teams run performance reviews, set OKRs, gather continuous feedback, and measure employee engagement. Provides manager tools for 1-on-1s, growth plans, and compensation management across the employee lifecycle.",HR & Performance Management,Human Resources and Recruiting,"lattice, performance reviews, okr, employee engagement, people management, 1on1, feedback, compensation management, hr software",Lattice HQ,true,6,websummit-lisbon2025
Vercel,https://vercel.com,Frontend cloud platform for deploying and scaling web applications,"Vercel provides infrastructure for frontend teams to deploy, preview, and ship web applications. Built for Next.js and other frameworks with instant global CDN, CI/CD preview deployments, and serverless functions. Used by Airbnb and HashiCorp.",Cloud Deployment,Developer Tools,"vercel, frontend deployment, nextjs, cdn, ci/cd, serverless, web hosting, jamstack, preview deployments, frontend cloud",Vercel Platform,true,7,websummit-lisbon2025
Yanolja,https://yanolja.com,AI-powered global travel and hospitality cloud platform,"Yanolja offers cloud SaaS for hospitality businesses covering property management systems, booking engines, channel management, and revenue optimization. Dominant in South Korea and expanding globally through its Yanolja Cloud division.",Hospitality Tech,Travel & Hospitality SaaS,"yanolja, hospitality cloud, hotel management, pms, booking engine, channel manager, travel tech, revenue management, hotel saas",Yanolja Cloud,true,5,websummit-lisbon2025
ServiceNow,https://servicenow.com,Enterprise workflow automation and IT service management platform,"ServiceNow digitizes and automates enterprise workflows across IT, HR, customer service, and operations. Its Now Platform integrates with existing systems to streamline incident management, asset tracking, and employee onboarding via AI-powered workflows.",IT Service Management,Enterprise SaaS,"servicenow, itsm, workflow automation, it service management, incident management, enterprise workflow, now platform, itom, helpdesk",ServiceNow Platform,true,8,websummit-lisbon2025
Zoho,https://zoho.com,Comprehensive business software suite covering CRM to HR to finance,"Zoho offers 55+ integrated applications covering CRM, email, project management, accounting, HR, and marketing automation. Privacy-focused and competitively priced against Microsoft 365 and Salesforce. Bootstrapped and profitable with 100M+ users.",Business Software Suite,Enterprise SaaS,"zoho, crm, zoho crm, business software, email, project management, accounting, hr, marketing automation, smb software",Zoho Corporation,true,7,websummit-lisbon2025
Clay,https://clay.com,Data enrichment and sales intelligence platform for outbound teams,"Clay aggregates data from 100+ sources including LinkedIn, Apollo, and Clearbit to build highly enriched prospect lists. Teams use AI-powered workflows to research leads, personalize outreach at scale, and automate GTM operations.",Sales Intelligence,Sales & Marketing SaaS,"clay, data enrichment, sales intelligence, lead enrichment, outbound, prospecting, gtm, crm data, linkedin enrichment, waterfall enrichment",Clay HQ,true,8,websummit-lisbon2025
Cohere,https://cohere.com,Enterprise LLM platform for building AI-powered business applications,"Cohere provides large language models (Command, Embed, Rerank) optimized for enterprise use cases including RAG, search, classification, and summarization. Offers cloud-agnostic deployment with private cloud and on-premise options for regulated industries.",Enterprise AI,AI Infrastructure,"cohere, llm, enterprise ai, command, embed, rerank, rag, natural language processing, private cloud, on-premise ai",Cohere AI,true,7,websummit-lisbon2025
Reka,https://reka.ai,Multimodal AI models for enterprise intelligence and complex reasoning,"Reka builds frontier multimodal AI models capable of processing text, images, video, and audio. Models are deployed via API and private cloud for enterprise search, document understanding, and complex reasoning tasks across industries.",AI Models,AI Infrastructure,"reka, multimodal ai, llm, enterprise ai, image understanding, video ai, document processing, reasoning, frontier model",Reka AI,true,6,websummit-lisbon2025
Groq,https://groq.com,AI inference hardware and cloud delivering ultra-fast LLM token generation,Groq builds the Language Processing Unit (LPU) — custom silicon for AI inference — delivering dramatically faster token generation than GPU-based systems. Its GroqCloud API gives developers access to open-source models at high throughput and low latency.,AI Infrastructure,AI Infrastructure,"groq, lpu, ai inference, fast llm, groqcloud, language processing unit, ai hardware, llama inference, low latency ai",GroqCloud,true,7,websummit-lisbon2025
Read AI,https://read.ai,AI meeting assistant for transcription summaries and action items,"Read AI joins video meetings on Zoom, Teams, and Google Meet to transcribe in real time, generate meeting summaries, extract action items, and score meeting engagement. Integrates with CRMs and project tools to push notes automatically.",Meeting Intelligence,Productivity SaaS,"read ai, meeting assistant, transcription, meeting summary, action items, zoom, teams, google meet, meeting notes, ai notetaker",Read.ai,true,6,websummit-lisbon2025
TensorWave,https://tensorwave.com,AI cloud infrastructure platform built on AMD GPUs for training and inference,TensorWave provides cloud computing infrastructure powered by AMD Instinct GPUs targeting AI training and inference workloads. Offers an alternative to NVIDIA-dominated cloud providers with competitive pricing for large-scale AI model training.,AI Cloud Infrastructure,AI Infrastructure,"tensorwave, amd gpu, ai cloud, ai training, inference, gpu cloud, instinct, ai infrastructure, compute, cloud ai",TensorWave AI,true,6,websummit-lisbon2025
Arm,https://arm.com,Semiconductor IP company powering mobile automotive and AI computing worldwide,"Arm designs CPU and GPU architectures used in virtually all smartphones, tablets, and increasingly in AI accelerators and data center chips. Licenses its architecture to Apple, Qualcomm, and NVIDIA. Over 280 billion Arm-based chips shipped.",Semiconductor IP,Hardware & Semiconductors,"arm, semiconductor, cpu, mobile chip, arm architecture, ai chip, qualcomm, apple silicon, risc, processor design",Arm Ltd,true,9,websummit-lisbon2025
NVIDIA,https://nvidia.com,AI computing company powering GPU infrastructure for training and inference,"NVIDIA designs GPUs and the CUDA ecosystem that powers the majority of AI training workloads globally. Products include H100/H200 data center GPUs, the NIM inference microservices platform, and Omniverse for simulation and digital twins.",AI Hardware & Computing,Hardware & Semiconductors,"nvidia, gpu, cuda, h100, ai training, inference, omniverse, digital twin, ai computing, data center, h200",NVIDIA Corporation,true,10,websummit-lisbon2025
Amazon Robotics,https://amazon.com/robotics,Warehouse automation division of Amazon deploying robots at scale across fulfillment,"Amazon Robotics designs and deploys robotic systems across Amazon's fulfillment network including autonomous mobile robots (AMRs), robotic arms, and AI-powered sorting systems. Handles billions of items annually and licenses technology externally.",Warehouse Robotics,Robotics,"amazon robotics, warehouse automation, amr, fulfillment, logistics robots, robotic arm, sorting, autonomous mobile robot, amazon",Amazon Robotics Division,true,7,websummit-lisbon2025
Wandercraft,https://wandercraft.eu,Exoskeleton technology company enabling walking rehabilitation for paralyzed patients,Wandercraft builds medical exoskeletons for rehabilitation clinics allowing paraplegic and spinal injury patients to walk again. Its Atalante exoskeleton is FDA-cleared and CE-marked for use in hospitals for physiotherapy and clinical trials.,Medical Robotics,HealthTech,"wandercraft, exoskeleton, rehabilitation, paraplegic, walking robot, atalante, spinal injury, physiotherapy, medical device, wearable robot",Wandercraft Exoskeleton,true,6,websummit-lisbon2025
planqc,https://planqc.eu,Quantum computing startup building neutral atom array processors,"planqc develops quantum computers based on neutral atom arrays enabling high qubit counts and long coherence times. Targets optimization, simulation, and cryptography use cases. Spun out of the Max-Planck Institute and Ludwig Maximilian University Munich.",Quantum Computing,Deep Tech,"planqc, quantum computing, neutral atom, qubit, quantum processor, quantum hardware, optimization, quantum simulation, atom array",planQc,true,6,websummit-lisbon2025
IonQ,https://ionq.com,Trapped ion quantum computing company with cloud-accessible quantum hardware,"IonQ builds quantum computers using trapped ion technology offering high gate fidelity and low error rates. Accessible via AWS, Azure, and Google Cloud. Targets enterprise use cases in drug discovery, financial optimization, and logistics.",Quantum Computing,Deep Tech,"ionq, quantum computing, trapped ion, quantum hardware, cloud quantum, qubit, quantum gate, drug discovery, oxford ionics",IonQ Quantum,true,7,websummit-lisbon2025
Samphire Neuroscience,https://samphireneuroscience.com,Neurostimulation wearable for menstrual pain and mental health conditions,Samphire Neuroscience develops neurostimulation devices targeting pain management and mental health. Its first product addresses menstrual pain and anxiety using transcranial electrical stimulation as a drug-free alternative for chronic sufferers.,Neurostimulation,HealthTech,"samphire, neurostimulation, menstrual pain, mental health, tacs, wearable, brain stimulation, pain management, drug free",Samphire,true,5,websummit-lisbon2025
Science Inc,https://science-inc.com,Biotech company developing next-generation brain-computer interface technologies,Science Inc (founded by Neuralink co-founder Max Hodak) develops next-generation neuroscience and BCI technologies focused on long-term brain-computer interface hardware and biological computing paradigms beyond current neural implant approaches.,Brain-Computer Interface,BioTech,"science inc, bci, brain computer interface, neuroscience, neuralink, max hodak, neural interface, biotech, implant, bci hardware",Science,true,7,websummit-lisbon2025
Prenuvo,https://prenuvo.com,Preventive full-body MRI scanning service for proactive disease detection,"Prenuvo offers full-body MRI scans completed in under an hour designed to detect early-stage cancers, aneurysms, and other conditions before symptoms appear. Positioned as proactive preventive healthcare with clinics across North America.",Preventive Health,HealthTech,"prenuvo, full body mri, preventive health, cancer screening, early detection, mri scan, whole body scan, preventive medicine",Prenuvo Health,true,6,websummit-lisbon2025
Fay,https://fay.com,AI-powered platform connecting patients with insurance-covered registered dietitians,"Fay matches patients with registered dietitians covered by insurance for personalized nutrition counseling. Uses AI to streamline scheduling, progress tracking, and billing. Addresses chronic conditions including diabetes, GI disorders, and eating disorders.",Nutrition & Dietitian Platform,HealthTech,"fay, dietitian, nutrition, insurance covered, registered dietitian, chronic disease, diabetes, eating disorder, telehealth nutrition",Fay Health,true,5,websummit-lisbon2025
Clue,https://helloclue.com,Menstrual health and fertility tracking app with scientific foundation,"Clue is a period and fertility tracking app used by 13 million people in 190 countries. Tracks menstrual cycles, ovulation, symptoms, and mood using algorithm-based predictions. Partnered with reproductive health researchers and fully GDPR-compliant.",Women's Health,HealthTech,"clue, period tracking, fertility, menstrual health, ovulation, women's health, reproductive health, cycle tracking, contraception",Clue App,true,6,websummit-lisbon2025
Omniscope,https://omniscope.ai,AI-powered retinal diagnostics platform for systemic disease detection,"Omniscope uses AI to analyze retinal images and detect biomarkers for systemic conditions including cardiovascular disease, diabetes, and neurological disorders from a non-invasive eye scan. Deployed in clinics and optometry chains.",AI Diagnostics,HealthTech,"omniscope, retinal imaging, ai diagnostics, eye scan, cardiovascular, diabetes detection, ophthalmology, biomarkers, disease detection",Omniscope AI,true,6,websummit-lisbon2025
Cradle,https://cradle.bio,AI platform for engineering proteins with improved functional properties,"Cradle provides a platform for protein engineers to design and optimize proteins using generative AI models. Scientists use it to improve enzyme stability, binding affinity, and expression yield — reducing wet lab iteration cycles from months to weeks.",Protein Engineering,BioTech,"cradle, protein engineering, ai biotech, enzyme design, generative ai, protein optimization, directed evolution, wet lab, biotech ai",Cradle Bio,true,6,websummit-lisbon2025
Commonwealth Fusion Systems,https://cfs.energy,Fusion energy company building compact high-field superconducting tokamak reactors,CFS is developing SPARC — a compact fusion reactor using high-temperature superconducting magnets to achieve net energy gain. Spun out of MIT's PSFC with over $1.8B raised. Targeting commercial fusion power plants in the 2030s.,Fusion Energy,Climate Tech,"commonwealth fusion, cfs, sparc, fusion reactor, fusion energy, hts magnets, tokamak, net energy, clean energy, nuclear fusion",CFS Energy,true,8,websummit-lisbon2025
Octopus Energy,https://octopusenergy.com,Technology-driven green energy retailer and smart grid software platform,"Octopus Energy supplies renewable electricity and gas to consumers across the UK, US, Germany, Japan, and Australia. Its Kraken platform powers smart energy management and is licensed to other utilities. Uses AI to optimize grid balancing and EV charging.",Green Energy Retail,Climate Tech,"octopus energy, green energy, renewable electricity, kraken platform, smart energy, ev charging, grid balancing, clean energy, energy retail",Octopus,true,7,websummit-lisbon2025
Marvel Fusion,https://marvelfusion.com,Laser-driven inertial confinement fusion energy startup,Marvel Fusion is developing a laser-based approach to nuclear fusion using short-pulse high-intensity lasers to ignite fuel targets. Partnered with Colorado State University for laser facility access. Based in Munich targeting commercial fusion power.,Fusion Energy,Climate Tech,"marvel fusion, laser fusion, inertial confinement, nuclear fusion, fusion energy, clean energy, laser ignition, fusion power",Marvel Fusion Energy,true,6,websummit-lisbon2025
1KOMMA5°,https://1komma5grad.com,Home energy management platform integrating solar storage heat pump and EV charging,"1KOMMA5° installs and connects solar panels, home battery systems, heat pumps, and EV chargers through its Heartbeat AI platform that optimizes energy flows in real time. Operates across Germany, Sweden, Australia, and expanding internationally.",Home Energy Management,Climate Tech,"1komma5, home energy, solar, battery storage, heat pump, ev charging, heartbeat, energy management, prosumer, smart home energy",1.5 Degrees,true,6,websummit-lisbon2025
CorPower Ocean,https://corpowerocean.com,Wave energy technology company building offshore wave power converters,CorPower Ocean develops wave energy converters (WECs) that harness ocean wave motion to generate clean electricity. Its C4 device uses a resonance-based design for high energy capture. Deployed in commercial pilot projects off the Portuguese coast.,Wave Energy,Climate Tech,"corpower, wave energy, offshore energy, renewable energy, wave power, ocean energy, wec, marine energy, clean electricity",CorPower,true,6,websummit-lisbon2025
Ascend Elements,https://ascendelements.com,Battery materials company upcycling lithium-ion batteries into new cathode materials,Ascend Elements recovers critical battery materials from spent EV and consumer lithium-ion batteries and reprocesses them into cathode active materials for battery manufacturers. Proprietary Hydro-to-Cathode process reduces cost and carbon vs. virgin materials.,Battery Recycling,Climate Tech,"ascend elements, battery recycling, lithium ion, cathode materials, ev battery, circular economy, critical minerals, battery upcycling",Ascend,true,6,websummit-lisbon2025
Transmutex,https://transmutex.com,Nuclear technology company eliminating long-lived radioactive waste via transmutation,Transmutex is developing a subcritical nuclear reactor driven by a particle accelerator (ADS) that can transmute long-lived nuclear waste into shorter-lived isotopes while generating clean energy. Based in Geneva with backing from leading nuclear institutions.,Nuclear Innovation,Climate Tech,"transmutex, nuclear waste, transmutation, accelerator driven system, ads, subcritical reactor, clean energy, nuclear, radioactive waste",Transmutex SA,true,5,websummit-lisbon2025
Pinterest,https://pinterest.com,Visual discovery platform for finding ideas and shoppable products,"Pinterest is a visual bookmarking and discovery platform where users find inspiration for fashion, home decor, recipes, and travel. Features shoppable pins, creator tools, and AI-powered recommendations. Monetized through advertising and shopping integrations.",Visual Discovery,eCommerce,"pinterest, visual discovery, pins, inspiration, shopping, home decor, fashion, recipes, mood board, visual search",Pinterest Platform,true,7,websummit-lisbon2025
Wolff Olins,https://wolffolins.com,Global brand design consultancy for transformative brand strategy and identity,"Wolff Olins is a London and New York-based brand consultancy designing brand strategies and visual identities for major organizations. Clients include Google, Tata, and the London 2012 Olympics. Known for bold purpose-driven brand transformations.",Brand Strategy,Design & Marketing,"wolff olins, branding, brand strategy, brand identity, design consultancy, corporate identity, brand transformation, rebranding",Wolff Olins Brand,true,4,websummit-lisbon2025
Mozilla,https://mozilla.org,Open-source web organization behind Firefox and internet privacy advocacy,"Mozilla builds Firefox — a privacy-focused browser used by hundreds of millions globally. Also develops Pocket (read-later app), MDN Web Docs, and advocates for an open and healthy internet. Operates as a non-profit foundation.",Open Web & Privacy,Developer Tools,"mozilla, firefox, browser, privacy, open source, web standards, pocket, mdn, internet health, privacy browser",Mozilla Foundation,true,7,websummit-lisbon2025
R/GA,https://rga.com,Global digital transformation consultancy and creative innovation agency,"R/GA is a digital creative agency and transformation consultancy that designs products, services, and brand experiences. Known for creating Nike+. Operates venture studios and helps companies build new digital business models and innovation practices.",Digital Transformation,Design & Marketing,"rga, digital agency, brand experience, product design, innovation consultancy, transformation, nike plus, digital marketing, creative agency",R/GA Agency,true,5,websummit-lisbon2025
Adidas,https://adidas.com,Global sportswear brand and athletic performance innovation company,"Adidas is one of the world's largest sportswear manufacturers producing footwear, apparel, and equipment for sport and lifestyle. Investing heavily in digital commerce, sustainability, and direct-to-consumer channels through its own app and stores.",Sportswear & Retail,Consumer Goods,"adidas, sportswear, sneakers, athletic apparel, footwear, sport performance, lifestyle, direct to consumer, sustainability, fashion",Adidas AG,true,7,websummit-lisbon2025
